,0
882,1
883,6
884,5
885,3
886,0
887,5
888,6
889,5
890,5
891,5
892,6
893,3
894,5
895,2
896,2
897,5
898,5
899,5
900,1
901,5
902,4
903,4
904,3
905,3
906,3
907,5
908,3
909,3
910,2
911,2
912,5
913,0
914,5
915,2
916,1
917,6
918,3
919,5
920,5
921,3
922,1
923,3
924,4
925,0
926,1
927,4
928,2
929,1
930,3
931,5
932,3
933,2
934,4
935,5
936,5
937,1
938,3
939,1
940,6
941,2
942,2
943,2
944,5
945,0
946,0
947,1
948,2
949,1
950,0
951,0
952,4
953,2
954,1
955,3
956,1
957,4
958,6
959,2
960,3
961,4
962,5
963,3
964,3
965,6
966,2
967,1
968,2
969,2
970,1
971,0
972,4
973,1
974,0
975,2
976,1
977,5
978,0
979,3
980,5
981,1
982,4
983,4
984,3
985,4
986,2
987,1
988,5
989,1
990,3
991,3
992,3
993,5
994,6
995,0
996,4
997,4
998,6
999,1
1000,2
1001,0
1002,2
1003,1
1004,3
1005,1
1006,3
1007,1
1008,0
1009,5
1010,1
1011,5
1012,0
1013,6
1014,4
1015,0
1016,3
1017,3
1018,0
1019,4
1020,0
1021,4
1022,0
1023,3
1024,3
1025,6
1026,1
1027,1
1028,3
1029,3
1030,2
1031,0
1032,0
1033,3
1034,1
1035,1
1036,0
1037,3
1038,1
1039,1
1040,6
1041,0
1042,0
1043,2
1044,3
1045,3
1046,2
1047,4
1048,1
1049,4
1050,0
1051,1
1052,1
1053,1
1054,5
1055,4
1056,5
1057,0
1058,5
1059,5
1060,0
1061,0
1062,6
1063,1
1064,3
1065,4
1066,0
1067,5
1068,0
1069,1
1070,1
1071,3
1072,4
1073,2
1074,6
1075,1
1076,0
1077,2
1078,3
1079,0
1080,0
1081,4
1082,1
1083,3
1084,0
1085,3
1086,5
1087,3
1088,1
1089,5
1090,0
1091,5
1092,0
1093,2
1094,5
1095,3
1096,4
1097,1
1098,1
1099,2
1100,1
1101,3
1102,4
1103,3
1104,0
1105,1
1106,0
1107,3
1108,1
1109,5
1110,5
1111,1
1112,4
1113,1
1114,2
1115,4
1116,0
1117,4
1118,1
1119,6
1120,2
1121,4
1122,4
1123,2
1124,4
1125,0
1126,1
1127,3
1128,1
1129,4
1130,2
1131,3
1132,4
1133,3
1134,2
1135,2
1136,4
1137,5
1138,5
1139,1
1140,2
1141,0
1142,0
1143,4
1144,3
1145,4
1146,3
1147,3
1148,6
1149,4
1150,6
1151,3
1152,5
1153,3
1154,4
1155,1
1156,0
1157,6
1158,1
1159,3
1160,5
1161,2
1162,3
1163,1
1164,5
1165,2
1166,4
1167,2
1168,4
1169,0
1170,0
1171,4
1172,6
1173,5
1174,1
1175,5
1176,5
1177,6
1178,2
1179,5
1180,4
1181,5
1182,4
1183,1
1184,6
1185,0
1186,2
1187,5
1188,0
1189,0
1190,0
1191,0
1192,6
1193,3
1194,5
1195,5
1196,2
1197,2
1198,3
1199,2
1200,6
1201,2
1202,6
1203,3
1204,5
1205,4
1206,1
1207,5
1208,4
1209,5
1210,2
1211,2
1212,3
1213,2
1214,5
1215,4
1216,3
1217,2
1218,6
1219,1
1220,5
1221,1
1222,2
1223,3
1224,1
1225,5
1226,0
1227,0
1228,4
1229,0
1230,5
1231,2
1232,0
1233,6
1234,4
1235,4
1236,3
1237,4
1238,1
1239,1
1240,0
1241,0
1242,2
1243,3
1244,0
1245,1
1246,3
1247,0
1248,5
1249,6
1250,1
1251,3
1252,0
1253,6
1254,1
1255,4
1256,3
1257,6
1258,3
1259,4
1260,5
1261,2
1262,3
1263,0
1264,3
1265,3
1266,1
1267,3
1268,5
1269,3
1270,1
1271,4
1272,4
1273,1
1274,1
1275,0
1276,2
1277,4
1278,3
1279,4
1280,5
1281,4
1282,6
1283,4
1284,0
1285,4
1286,3
1287,0
1288,0
1289,0
1290,1
1291,4
1292,1
1293,3
1294,0
1295,0
1296,0
1297,3
1298,3
1299,6
1300,3
1301,5
1302,6
1303,1
1304,5
1305,4
1306,3
1307,2
1308,3
1309,0
1310,0
1311,1
1312,1
1313,3
1314,2
1315,1
1316,0
1317,1
1318,4
1319,2
1320,4
1321,5
1322,6
1323,4
1324,5
1325,4
1326,2
1327,1
1328,3
1329,2
1330,4
1331,4
1332,5
1333,5
1334,1
1335,4
1336,3
1337,0
1338,3
1339,4
1340,0
1341,5
1342,1
1343,6
1344,0
1345,5
1346,1
1347,3
1348,4
1349,2
1350,0
1351,2
1352,3
1353,5
1354,2
1355,3
1356,2
1357,2
1358,1
1359,3
1360,3
1361,6
1362,3
1363,6
1364,2
1365,3
1366,2
1367,0
1368,3
1369,1
1370,5
1371,3
1372,3
1373,3
1374,2
1375,5
1376,4
1377,2
1378,3
1379,3
1380,2
1381,3
1382,4
1383,0
1384,0
1385,3
1386,4
1387,3
1388,1
1389,5
1390,6
1391,5
1392,3
1393,4
1394,4
1395,3
1396,6
1397,3
1398,0
1399,3
1400,1
1401,4
1402,3
1403,1
1404,3
1405,4
1406,4
1407,1
1408,5
1409,4
1410,3
1411,4
1412,3
1413,3
1414,3
1415,5
1416,4
1417,1
1418,4
1419,3
1420,4
1421,6
1422,5
1423,4
1424,3
1425,4
1426,0
1427,1
1428,4
1429,1
1430,6
1431,5
1432,1
1433,1
1434,2
1435,2
1436,0
1437,0
1438,1
1439,1
1440,1
1441,2
1442,2
1443,3
1444,6
1445,0
1446,1
1447,3
1448,3
1449,2
1450,5
1451,1
1452,6
1453,1
1454,5
1455,3
1456,3
1457,0
1458,0
1459,1
1460,2
1461,4
1462,1
1463,1
1464,0
1465,1
1466,5
1467,5
1468,5
1469,5
1470,0
1471,0
1472,3
1473,0
1474,2
1475,5
1476,3
1477,3
1478,6
1479,6
1480,0
1481,4
1482,1
1483,1
1484,0
1485,3
1486,0
1487,0
1488,0
1489,4
1490,0
1491,4
1492,1
1493,1
1494,3
1495,6
1496,2
1497,1
1498,3
1499,3
1500,1
1501,5
1502,1
1503,1
1504,4
1505,4
1506,5
1507,3
1508,4
1509,1
1510,5
1511,0
1512,1
1513,4
1514,0
1515,1
1516,0
1517,2
1518,3
1519,3
1520,3
1521,4
1522,1
1523,5
1524,3
1525,4
1526,4
1527,4
1528,4
1529,1
1530,4
1531,4
1532,1
1533,1
1534,3
1535,1
1536,1
1537,0
1538,1
1539,5
1540,5
1541,0
1542,5
1543,0
1544,5
1545,2
1546,5
1547,6
1548,5
1549,5
1550,2
1551,2
1552,2
1553,3
1554,2
1555,5
1556,1
1557,2
1558,1
1559,4
1560,1
1561,1
1562,5
1563,1
1564,4
1565,4
1566,4
1567,2
1568,3
1569,0
1570,0
1571,2
1572,5
1573,0
1574,0
1575,0
1576,2
1577,0
1578,0
1579,6
1580,5
1581,1
1582,5
1583,3
1584,2
1585,3
1586,1
1587,6
1588,0
1589,2
1590,5
1591,3
1592,1
1593,2
1594,0
1595,0
1596,4
1597,4
1598,2
1599,1
1600,1
1601,4
1602,4
1603,3
1604,0
1605,5
1606,5
1607,3
1608,4
1609,4
1610,4
1611,0
1612,3
1613,5
1614,5
1615,4
1616,2
1617,0
1618,5
1619,1
1620,0
1621,5
1622,2
1623,4
1624,2
1625,0
1626,4
1627,0
1628,5
1629,3
1630,1
1631,4
1632,4
1633,1
1634,3
1635,4
1636,4
1637,0
1638,1
1639,5
1640,3
1641,5
1642,1
1643,1
1644,2
1645,0
1646,4
1647,4
1648,5
1649,3
1650,0
1651,1
1652,4
1653,4
1654,2
1655,3
1656,4
1657,5
1658,3
1659,2
1660,2
1661,1
1662,0
1663,5
1664,3
1665,3
1666,5
1667,5
1668,5
1669,4
1670,3
1671,2
1672,1
1673,0
1674,0
1675,0
1676,1
1677,3
1678,2
1679,2
1680,6
1681,1
1682,1
1683,0
1684,4
1685,1
1686,2
1687,5
1688,5
1689,5
1690,5
1691,5
1692,2
1693,2
1694,3
1695,4
1696,0
1697,0
1698,2
1699,1
1700,2
1701,0
1702,0
1703,4
1704,5
1705,0
1706,0
1707,4
1708,2
1709,1
1710,0
1711,6
1712,3
1713,0
1714,4
1715,5
1716,2
1717,2
1718,4
1719,4
1720,5
1721,5
1722,0
1723,3
1724,2
1725,5
1726,2
1727,6
1728,4
1729,0
1730,3
1731,3
1732,5
1733,3
1734,5
1735,3
1736,1
1737,2
1738,2
1739,0
1740,0
1741,3
1742,1
1743,5
1744,4
1745,6
1746,4
1747,0
1748,2
1749,4
1750,4
1751,4
1752,3
1753,4
1754,3
1755,6
1756,4
1757,2
1758,4
1759,1
1760,4
1761,1
1762,0
1763,3
1764,0
1765,3
1766,4
1767,4
1768,2
1769,5
1770,2
1771,5
1772,4
1773,4
1774,3
1775,1
1776,0
1777,5
1778,2
1779,1
1780,1
1781,4
1782,5
1783,5
1784,3
1785,5
1786,4
1787,0
1788,3
1789,1
1790,0
1791,4
1792,5
1793,1
1794,3
1795,4
1796,0
1797,2
1798,5
1799,1
1800,1
1801,1
1802,4
1803,3
1804,3
1805,1
1806,6
1807,1
1808,4
1809,4
1810,6
1811,5
1812,2
1813,3
1814,5
1815,5
1816,4
1817,6
1818,1
1819,4
1820,5
1821,2
1822,4
1823,0
1824,4
1825,4
1826,0
1827,3
1828,5
1829,0
1830,5
1831,6
1832,2
1833,3
1834,4
1835,0
1836,3
1837,0
1838,2
1839,4
1840,4
1841,3
1842,4
1843,1
1844,2
1845,0
1846,2
1847,0
1848,5
1849,3
1850,0
1851,4
1852,3
1853,0
1854,3
1855,3
1856,4
1857,1
1858,4
1859,4
1860,1
1861,5
1862,4
1863,3
1864,0
1865,1
1866,5
1867,2
1868,3
1869,0
1870,1
1871,6
1872,1
1873,6
1874,5
1875,4
1876,5
1877,5
1878,0
1879,5
1880,1
1881,1
1882,4
1883,6
1884,2
1885,4
1886,3
1887,2
1888,3
1889,0
1890,0
1891,1
1892,2
1893,5
1894,5
1895,1
1896,6
1897,4
1898,2
1899,3
1900,4
1901,4
1902,2
1903,1
1904,0
1905,0
1906,1
1907,3
1908,3
1909,3
1910,0
1911,3
1912,4
1913,0
1914,5
1915,3
1916,5
1917,4
1918,5
1919,1
1920,4
1921,0
1922,5
1923,4
1924,3
1925,5
1926,4
1927,0
1928,0
1929,5
1930,4
1931,6
1932,4
1933,1
1934,6
1935,4
1936,4
1937,3
1938,3
1939,5
1940,2
1941,1
1942,5
1943,4
1944,1
1945,0
1946,1
1947,4
1948,2
1949,3
1950,2
1951,0
1952,0
1953,5
1954,2
1955,0
1956,4
1957,0
1958,3
1959,3
1960,4
1961,3
1962,4
1963,2
1964,0
1965,3
1966,5
1967,4
1968,0
1969,0
1970,5
1971,1
1972,1
1973,5
1974,3
1975,2
1976,5
1977,5
1978,4
1979,4
1980,5
1981,3
1982,3
1983,2
1984,3
1985,6
1986,3
1987,2
1988,5
1989,0
1990,0
1991,3
1992,1
1993,4
1994,4
1995,3
1996,1
1997,0
1998,6
1999,2
2000,0
2001,0
2002,1
2003,4
2004,4
2005,6
2006,0
2007,2
2008,1
2009,3
2010,4
2011,5
2012,6
2013,1
2014,0
2015,0
2016,1
2017,1
2018,5
2019,4
2020,2
2021,2
2022,6
2023,5
2024,0
2025,4
2026,5
2027,2
2028,4
2029,1
2030,0
2031,3
2032,1
2033,5
2034,4
2035,2
2036,4
2037,6
2038,2
2039,0
2040,6
2041,4
2042,3
2043,3
2044,3
2045,5
2046,1
2047,1
2048,2
2049,0
2050,5
2051,5
2052,1
2053,2
2054,3
2055,3
2056,0
2057,3
2058,1
2059,1
2060,2
2061,2
2062,1
2063,5
2064,5
2065,2
2066,2
2067,1
2068,3
2069,2
2070,3
2071,4
2072,4
2073,3
2074,6
2075,5
2076,1
2077,4
2078,0
2079,5
2080,0
2081,5
2082,1
2083,5
2084,4
2085,2
2086,2
2087,5
2088,0
2089,5
2090,5
2091,0
2092,4
2093,4
2094,5
2095,0
2096,1
2097,4
2098,4
2099,4
2100,0
2101,2
2102,3
2103,0
2104,1
2105,3
2106,6
2107,2
2108,0
2109,0
2110,2
2111,1
2112,1
2113,2
2114,1
2115,6
2116,0
2117,2
2118,0
2119,6
2120,0
2121,4
2122,3
2123,5
2124,0
2125,3
2126,0
2127,4
2128,3
2129,2
2130,2
2131,0
2132,2
2133,3
2134,4
2135,2
2136,3
2137,6
2138,2
2139,5
2140,2
2141,1
2142,4
2143,0
2144,1
2145,5
2146,2
2147,5
2148,1
2149,1
2150,2
2151,2
2152,5
2153,5
2154,0
2155,1
2156,4
2157,4
2158,3
2159,2
2160,6
2161,2
2162,1
2163,6
2164,2
2165,3
2166,1
2167,4
2168,2
2169,1
2170,5
2171,4
2172,0
2173,6
2174,2
2175,0
2176,1
2177,1
2178,5
2179,6
2180,3
2181,3
2182,4
2183,0
2184,1
2185,1
2186,3
2187,6
2188,1
2189,3
2190,6
2191,4
2192,2
2193,6
2194,0
2195,4
2196,0
2197,1
2198,4
2199,4
2200,1
2201,5
2202,3
2203,3
2204,0
2205,3
2206,5
2207,4
2208,1
2209,2
2210,1
2211,0
2212,4
2213,6
2214,5
2215,1
2216,5
2217,1
2218,1
2219,1
2220,1
2221,4
2222,5
2223,2
2224,3
2225,3
2226,3
2227,4
2228,4
2229,4
2230,5
2231,2
2232,0
2233,5
2234,2
2235,6
2236,1
2237,1
2238,1
2239,3
2240,2
2241,1
2242,4
2243,4
2244,6
2245,0
2246,3
2247,5
2248,2
2249,5
2250,0
2251,1
2252,5
2253,3
2254,2
2255,1
2256,3
2257,2
2258,0
2259,5
2260,2
2261,1
2262,2
2263,5
2264,3
2265,3
2266,2
2267,3
2268,4
2269,2
2270,4
2271,4
2272,5
2273,0
2274,4
2275,5
2276,2
2277,6
2278,2
2279,3
2280,2
2281,5
2282,0
2283,4
2284,5
2285,4
2286,6
2287,0
2288,3
2289,4
2290,1
2291,5
2292,3
2293,4
2294,5
2295,5
2296,2
2297,1
2298,2
2299,5
2300,0
2301,2
2302,0
2303,1
2304,1
2305,0
2306,1
2307,0
2308,5
2309,3
2310,5
2311,3
2312,2
2313,2
2314,3
2315,4
2316,0
2317,0
2318,3
2319,6
2320,5
2321,2
2322,4
2323,1
2324,2
2325,3
2326,3
2327,3
2328,3
2329,4
2330,2
2331,2
2332,5
2333,2
2334,0
2335,2
2336,6
2337,3
2338,6
2339,2
2340,1
2341,6
2342,4
2343,0
2344,5
2345,0
2346,1
2347,5
2348,4
2349,0
2350,4
2351,5
2352,2
2353,6
2354,2
2355,2
2356,5
2357,4
2358,1
2359,4
2360,2
2361,0
2362,2
2363,5
2364,3
2365,4
2366,0
2367,3
2368,6
2369,0
2370,4
2371,3
2372,6
2373,2
2374,3
2375,5
2376,1
2377,0
2378,4
2379,5
2380,0
2381,4
2382,5
2383,1
2384,4
2385,3
2386,4
2387,4
2388,2
2389,5
2390,1
2391,0
2392,4
2393,1
2394,4
2395,1
2396,4
2397,1
2398,1
2399,3
2400,1
2401,5
2402,6
2403,0
2404,5
2405,5
2406,6
2407,5
2408,3
2409,0
2410,2
2411,5
2412,3
2413,2
2414,1
2415,1
2416,3
2417,1
2418,4
2419,5
2420,5
2421,3
2422,5
2423,4
2424,2
2425,2
2426,5
2427,6
2428,3
2429,2
2430,6
2431,2
2432,1
2433,5
2434,4
2435,0
2436,5
2437,3
2438,4
2439,1
2440,5
2441,3
2442,5
2443,1
2444,6
2445,2
2446,5
2447,4
2448,0
2449,5
2450,6
2451,4
2452,4
2453,4
2454,2
2455,4
2456,3
2457,4
2458,1
2459,0
2460,4
2461,3
2462,4
2463,5
2464,1
2465,5
2466,4
2467,3
2468,2
2469,0
2470,1
2471,0
2472,3
2473,4
2474,1
2475,4
2476,3
2477,2
2478,0
2479,2
2480,1
2481,3
2482,1
2483,3
2484,3
2485,0
2486,4
2487,1
2488,2
2489,4
2490,6
2491,4
2492,0
2493,0
2494,2
2495,2
2496,1
2497,3
2498,5
2499,6
2500,6
2501,5
2502,1
2503,1
2504,4
2505,1
2506,5
2507,4
2508,1
2509,1
2510,6
2511,3
2512,0
2513,0
2514,4
2515,1
2516,3
2517,3
2518,3
2519,3
2520,3
2521,4
2522,6
2523,0
2524,2
2525,1
2526,0
2527,2
2528,2
2529,6
2530,1
2531,4
2532,0
2533,1
2534,5
2535,5
2536,1
2537,4
2538,3
2539,2
2540,4
2541,2
2542,4
2543,2
2544,5
2545,5
2546,4
2547,0
2548,2
2549,0
2550,1
2551,3
2552,2
2553,0
2554,0
2555,3
2556,3
2557,3
2558,5
2559,5
2560,0
2561,0
2562,5
2563,1
2564,1
2565,0
2566,0
2567,5
2568,4
2569,3
2570,1
2571,4
2572,2
2573,3
2574,4
2575,0
2576,5
2577,3
2578,2
2579,3
2580,3
2581,5
2582,5
2583,6
2584,0
2585,2
2586,4
2587,5
2588,4
2589,4
2590,0
2591,3
2592,1
2593,0
2594,0
2595,2
2596,0
2597,3
2598,1
2599,4
2600,3
2601,1
2602,5
2603,5
2604,1
2605,1
2606,5
2607,0
2608,0
2609,3
2610,4
2611,1
2612,0
2613,3
2614,5
2615,4
2616,0
2617,0
2618,5
2619,1
2620,4
2621,0
2622,3
2623,4
2624,4
2625,3
2626,2
2627,5
2628,3
2629,1
2630,4
2631,2
2632,5
2633,3
2634,4
2635,0
2636,4
2637,6
2638,1
2639,5
2640,4
2641,5
2642,2
2643,5
2644,4
2645,5
2646,6
2647,4
2648,4
2649,0
2650,5
2651,5
2652,5
2653,1
2654,0
2655,4
2656,1
2657,1
2658,0
2659,3
2660,0
2661,2
2662,3
2663,5
2664,4
2665,0
2666,0
2667,0
2668,6
2669,3
2670,0
2671,2
2672,4
2673,0
2674,5
2675,3
2676,0
2677,2
2678,2
2679,1
2680,5
2681,4
2682,3
2683,2
2684,2
2685,2
2686,1
2687,1
2688,2
2689,1
2690,4
2691,1
2692,0
2693,6
2694,1
2695,6
2696,0
2697,4
2698,4
2699,3
2700,4
2701,5
2702,1
2703,5
2704,5
2705,2
2706,0
2707,3
2708,4
2709,3
2710,2
2711,0
2712,3
2713,1
2714,3
2715,2
2716,5
2717,1
2718,2
2719,0
2720,3
2721,3
2722,3
2723,2
2724,2
2725,1
2726,4
2727,3
2728,1
2729,0
2730,0
2731,5
2732,0
2733,0
2734,1
2735,0
2736,5
2737,3
2738,5
2739,6
2740,0
2741,0
2742,5
2743,1
2744,5
2745,0
2746,5
2747,0
2748,3
2749,5
2750,0
2751,0
2752,1
2753,1
2754,1
2755,3
2756,5
2757,3
2758,3
2759,4
2760,0
2761,5
2762,0
2763,4
2764,0
2765,0
2766,6
2767,1
2768,0
2769,5
2770,6
2771,3
2772,3
2773,2
2774,4
2775,0
2776,2
2777,1
2778,0
2779,1
2780,2
2781,2
2782,1
2783,0
2784,2
2785,3
2786,1
2787,3
2788,4
2789,4
2790,4
2791,3
2792,1
2793,4
2794,5
2795,6
2796,1
2797,5
2798,3
2799,4
2800,1
2801,5
2802,5
2803,6
2804,3
2805,6
2806,2
2807,3
2808,1
2809,2
2810,0
2811,4
2812,4
2813,6
2814,5
2815,0
2816,4
2817,0
2818,4
2819,1
2820,1
2821,4
2822,0
2823,2
2824,0
2825,1
2826,6
2827,0
2828,2
2829,4
2830,3
2831,3
2832,2
2833,5
2834,3
2835,1
2836,3
2837,5
2838,1
2839,4
2840,5
2841,4
2842,3
2843,6
2844,5
2845,5
2846,2
2847,5
2848,2
2849,3
2850,3
2851,5
2852,0
2853,3
2854,3
2855,4
2856,4
2857,0
2858,6
2859,2
2860,0
2861,1
2862,1
2863,4
2864,5
2865,4
2866,3
2867,0
2868,2
2869,6
2870,5
2871,6
2872,4
2873,1
2874,0
2875,5
2876,3
2877,2
2878,5
2879,2
2880,1
2881,5
2882,3
2883,5
2884,6
2885,4
2886,2
2887,5
2888,1
2889,0
2890,6
2891,2
2892,0
2893,5
2894,6
2895,2
2896,5
2897,0
2898,4
2899,3
2900,2
2901,3
2902,4
2903,4
2904,0
2905,5
2906,2
2907,2
2908,0
2909,6
2910,1
2911,1
2912,6
2913,2
2914,5
2915,3
2916,5
2917,1
2918,1
2919,0
2920,6
2921,0
2922,1
2923,0
2924,0
2925,0
2926,1
2927,2
2928,2
2929,1
2930,0
2931,1
2932,1
2933,4
2934,0
2935,3
2936,1
2937,5
2938,0
2939,3
2940,5
2941,6
2942,1
2943,3
2944,6
2945,0
2946,2
2947,1
2948,3
2949,4
2950,6
2951,0
2952,1
2953,0
2954,3
2955,0
2956,2
2957,4
2958,1
2959,5
2960,2
2961,2
2962,1
2963,1
2964,3
2965,2
2966,3
2967,1
2968,4
2969,1
2970,4
2971,0
2972,1
2973,3
2974,0
2975,6
2976,2
2977,3
2978,2
2979,1
2980,3
2981,1
2982,2
2983,0
2984,3
2985,2
2986,4
2987,5
2988,4
2989,4
2990,4
2991,4
2992,1
2993,5
2994,0
2995,4
2996,3
2997,1
